# תסריט הדיבור — מקור האמת היחיד לכתוביות ולהקראה.
#
# כל שורה היא רפליקה אחת: מי מדבר, מתי, ומה נאמר.
# scripts/make_srt.py מייצר מכאן את subtitles/final.srt.
# scripts/mix_voice.py ממזג מכאן את פס הקול של כל סצנה.
#
# הזמנים מוחלטים, בשניות מתחילת הסרטון. כל סצנה תופסת 10 שניות,
# ולכן אורך הסרטון המלא הוא 2:30. אם משנים את אורך הסצנה, יש לעדכן
# גם את SCENE_DURATION ב-mix_voice.py — אחרת הרפליקות ימוקמו לא נכון.
#
# דוברים (ה-voice_id מתועד ב-scenario/production_notes.md):
#   narrator  קריין        Luc
#   may       מאי          Pixie
#   chase     צ'ייס        Cody
#   rubble    ראבל         Jasper
#
# scene	start	end	speaker	text
1	0.5	4.3	narrator	בוקר יפה בשכונה. מאי יצאה לשחק בחוץ.
1	5.0	9.5	narrator	השמש זרחה, והכול נראה מושלם.
2	10.5	14.3	narrator	מאי מצאה קורקינט מוטל על הצד.
2	14.8	19.6	may	אוי לא! הגלגל של הקורקינט שבור.
3	20.5	29.5	may	מה נעשה עכשיו?\nאני לא יכולה לתקן את זה לבד.
4	30.5	34.3	may	רגע... יש לי רעיון!
4	34.8	39.6	narrator	מאי נזכרה בחברים הכי טובים שלה.
5	40.5	44.3	may	כלבי המשמר, אנחנו צריכים אתכם!
5	44.8	49.6	narrator	הקריאה יצאה לדרך.
6	50.5	54.3	narrator	במגדל התצפית נדלקה האזעקה.
6	54.8	59.6	chase	יש קריאה! כולם למגדל!
7	60.5	64.3	narrator	כלבי המשמר ממהרים לפעולה!
7	64.8	69.6	rubble	אני כבר בדרך!
8	70.5	74.3	narrator	צ'ייס וראבל עומדים מוכנים.
8	74.8	79.6	chase	צ'ייס מוכן לפעולה!
9	80.5	84.3	narrator	והפעם יש איתנו חברה חדשה — הנסיכה מאי!
9	84.8	89.6	may	אני מוכנה לעזור!
10	90.5	94.3	narrator	כולם יוצאים לדרך!
10	94.8	99.6	chase	קדימה, כלבי המשמר!
11	100.5	104.3	narrator	הצוות הגיע אל הקורקינט.
11	104.8	109.6	rubble	בואו נסתכל על הגלגל.
12	110.5	114.3	rubble	יש לי בדיוק את הכלי המתאים!
12	114.8	119.6	narrator	ראבל מביא את הכלים ומתקן את הגלגל.
13	120.5	124.3	may	אני מחזיקה חזק!
13	124.8	129.6	narrator	מאי עוזרת, והגלגל חוזר למקום.
14	130.5	134.3	narrator	הקורקינט מתוקן ומבריק.
14	134.8	139.6	may	תודה רבה, כלבי המשמר!
15	140.5	144.3	chase	כשחברים עוזרים — הכול מסתדר!
15	144.8	149.6	narrator	כשעוזרים אחד לשני — הכול אפשרי!
